TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow
82450.989,1797.734,City,-98.32801,1.399202,-0.9000009,0,0,Objectives,0,0,1
82451.024,1797.697,City,-98.16801,1.399202,-0.9000009,0,0,Objectives,0,0,1
82451.059,1797.662,City,-98.00801,1.399202,-0.9000009,0,0,Objectives,0,0,1
82451.095,1797.627,City,-97.92801,1.399202,-0.9000009,0,0,Objectives,0,0,1
82451.132,1797.591,City,-97.76801,1.399202,-0.9000009,0,0,Objectives,0,0,1
82451.167,1797.554,City,-97.60801,1.399202,-0.9000009,0,0,Objectives,0,0,1
82451.203,1797.519,City,-97.44801,1.399202,-0.900001,0,0,Objectives,0,0,1
82451.238,1797.483,City,-97.28801,1.399202,-0.900001,0,0,Objectives,0,0,1
82451.274,1797.448,City,-97.20801,1.399202,-0.900001,0,0,Objectives,0,0,1
82451.313,1797.411,City,-97.048,1.399202,-0.900001,0,0,Objectives,0,0,1
82451.349,1797.373,City,-96.88801,1.399202,-0.900001,0,0,Objectives,0,0,1
82451.385,1797.337,City,-96.72803,1.399981,-0.900001,0,0,Objectives,0,0,1
82451.420,1797.3,City,-96.56802,1.399657,-0.900001,0,0,Objectives,0,0,1
82451.456,1797.266,City,-96.48802,1.400005,-0.900001,0,0,Objectives,0,0,1
82451.492,1797.229,City,-96.32803,1.400005,-0.9000011,0,0,Objectives,0,0,1
82451.528,1797.194,City,-96.16803,1.400005,-0.9000011,0,0,Objectives,0,0,1
82451.568,1797.158,City,-96.00803,1.39997,-0.9000011,0,0,Objectives,0,0,1
82451.607,1797.117,City,-95.84803,1.399837,-0.9000012,0,0,Objectives,0,0,1
82451.645,1797.078,City,-95.68803,1.399605,-0.9000012,0,0,Objectives,0,0,1
82451.681,1797.04,City,-95.52803,1.399273,-0.9000012,0,0,Objectives,0,0,1
82451.719,1797.004,City,-95.36803,1.400005,-0.9000012,0,0,Objectives,0,0,1
82451.756,1796.966,City,-95.28804,1.400005,-0.9000012,0,0,Objectives,0,0,1
82451.793,1796.929,City,-95.12804,1.400005,-0.9000012,0,0,Objectives,0,0,1
82451.831,1796.893,City,-94.96804,1.400005,-0.9000012,0,0,Objectives,0,0,1
82451.873,1796.855,City,-94.80804,1.400005,-0.9000013,0,0,Objectives,0,0,1
82451.913,1796.812,City,-94.64804,1.400005,-0.9000013,0,0,Objectives,0,0,1
82451.951,1796.773,City,-94.48804,1.400005,-0.9000013,0,0,Objectives,0,0,1
82451.992,1796.735,City,-94.32803,1.400005,-0.9000013,0,0,Objectives,0,0,1
82452.031,1796.694,City,-94.16804,1.400005,-0.9000013,0,0,Objectives,0,0,1
82452.068,1796.654,City,-94.00803,1.400005,-0.9000013,0,0,Objectives,0,0,1
82452.105,1796.618,City,-93.84804,1.400005,-0.9000014,0,0,Objectives,0,0,1
82452.141,1796.581,City,-93.68803,1.400005,-0.9000014,0,0,Objectives,0,0,1
82452.180,1796.545,City,-93.52804,1.400005,-0.9000014,0,0,Objectives,0,0,1
82452.215,1796.506,City,-93.44804,1.400005,-0.9000015,0,0,Objectives,0,0,1
82452.254,1796.47,City,-93.28804,1.400005,-0.9000015,0,0,Objectives,0,0,1
82452.291,1796.432,City,-93.12804,1.400005,-0.9000015,0,0,Objectives,0,0,1
82452.331,1796.394,City,-92.96803,1.400005,-0.9000015,0,0,Objectives,0,0,1
82452.367,1796.355,City,-92.80804,1.400005,-0.9000015,0,0,Objectives,0,0,1
82452.405,1796.319,City,-92.64803,1.400005,-0.9000015,0,0,Objectives,0,0,1
82452.441,1796.28,City,-92.48804,1.400005,-0.9000015,0,0,Objectives,0,0,1
82452.482,1796.244,City,-92.32803,1.400005,-0.9000016,0,0,Objectives,0,0,1
82452.514,1796.204,City,-92.24804,1.400005,-0.9000016,0,0,Objectives,0,0,1
82452.553,1796.17,City,-92.08804,1.400005,-0.9000016,0,0,Objectives,0,0,1
82452.591,1796.134,City,-91.92804,1.400005,-0.9000016,0,0,Objectives,0,0,1
82452.629,1796.094,City,-91.76804,1.400005,-0.9000016,0,0,Objectives,0,0,1
82452.666,1796.057,City,-91.60804,1.400005,-0.9000016,0,0,Objectives,0,0,1
82452.705,1796.02,City,-91.44804,1.400005,-0.9000017,0,0,Objectives,0,0,1
82452.740,1795.98,City,-91.28803,1.400005,-0.9000017,0,0,Objectives,0,0,1
82452.779,1795.946,City,-91.12804,1.400005,-0.9000017,0,0,Objectives,0,0,1
82452.821,1795.906,City,-90.96803,1.400005,-0.9000017,0,0,Objectives,0,0,1
82452.870,1795.864,City,-90.80804,1.400005,-0.9000018,0,0,Objectives,0,0,1
82452.901,1795.815,City,-90.64803,1.400005,-0.9000018,0,0,Objectives,0,0,1
82452.938,1795.785,City,-90.48804,1.400005,-0.9000018,0,0,Objectives,0,0,1
82452.974,1795.747,City,-90.40804,1.400005,-0.9000018,0,0,Objectives,0,0,1
82453.013,1795.711,City,-90.24804,1.400005,-0.9000018,0,0,Objectives,0,0,1
82453.050,1795.672,City,-90.08804,1.400005,-0.9000018,0,0,Objectives,0,0,1
82453.089,1795.635,City,-89.92764,1.400005,-0.9000019,0,0,Objectives,0,0,1
82453.129,1795.597,City,-89.76684,1.400005,-0.9000019,0,0,Objectives,0,0,1
82453.168,1795.557,City,-89.60564,1.400005,-0.9000019,0,0,Objectives,0,0,1
82453.204,1795.517,City,-89.44404,1.400005,-0.9000019,0,0,Objectives,0,0,1
82453.242,1795.481,City,-89.28204,1.400005,-0.9000019,0,0,Objectives,0,0,1
82453.279,1795.444,City,-89.11964,1.400005,-0.9000019,0,0,Objectives,0,0,1
82453.320,1795.408,City,-88.95683,1.400005,-0.9000019,0,0,Objectives,0,0,1
82453.355,1795.366,City,-88.87524,1.400005,-0.900002,0,0,Objectives,0,0,1
82453.392,1795.33,City,-88.71163,1.400005,-0.900002,0,0,Objectives,0,0,1
82453.431,1795.293,City,-88.54764,1.400005,-0.900002,0,0,Objectives,0,0,1
82453.469,1795.255,City,-88.38323,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.508,1795.217,City,-88.21844,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.547,1795.178,City,-88.05324,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.589,1795.138,City,-87.88763,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.624,1795.097,City,-87.72163,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.665,1795.062,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.719,1795.02,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.742,1794.967,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.783,1794.943,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.821,1794.902,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.865,1794.865,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.903,1794.821,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.942,1794.783,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82453.981,1794.744,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.019,1794.704,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.056,1794.666,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.098,1794.629,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.135,1794.587,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.177,1794.549,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.214,1794.509,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.253,1794.47,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.295,1794.432,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.336,1794.39,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.378,1794.349,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.421,1794.307,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.460,1794.264,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.503,1794.226,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.541,1794.182,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.583,1794.144,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.623,1794.102,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.663,1794.062,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.707,1794.022,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.750,1793.978,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.792,1793.936,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.834,1793.893,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.878,1793.852,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.918,1793.808,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.956,1793.767,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82454.993,1793.729,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.032,1793.692,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.070,1793.653,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.110,1793.615,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.156,1793.575,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.206,1793.529,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.230,1793.479,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.268,1793.455,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.310,1793.418,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
82455.349,1793.376,City,-87.55524,1.400005,-0.9000021,0,0,Objectives,0,0,1
